CUST_NUM,ACT_TIME,AMT_100pf
21861,01Aug2023 10:54:07.000,
2187,17Aug2023 2:09:59.000,
21891,01Aug2023 15:26:06.000,
2190,16Aug2023 23:31:22.000,
21906,02Aug2023 11:55:36.000,30000
21906,10Aug2023 7:13:05.000,30000
21906,17Aug2023 7:13:05.000,30000
21906,02Sep2023 8:52:02.000,30000
21922,01Aug2023 10:55:22.000,
21928,01Aug2023 12:15:56.000,
21936,01Aug2023 15:26:42.000,
21950,01Aug2023 15:27:12.000,
21951,01Aug2023 11:31:13.000,
21953,01Aug2023 10:56:10.000,
21967,01Aug2023 15:27:31.000,
21971,01Aug2023 11:31:40.000,
21972,01Aug2023 11:53:52.000,
21980,01Aug2023 11:30:16.000,
21982,01Aug2023 11:31:51.000,
21983,01Aug2023 11:54:12.000,
21995,01Aug2023 10:57:31.000,
21998,01Aug2023 11:10:25.000,
22009,01Aug2023 11:10:36.000,
2201,17Aug2023 0:59:51.000,
22036,01Aug2023 10:00:54.000,
22047,01Aug2023 11:10:52.000,
22053,15Aug2023 11:56:24.000,30000
22053,22Aug2023 11:56:24.000,30000
22053,29Aug2023 11:56:24.000,30000
22067,01Aug2023 10:58:19.000,
22071,01Aug2023 12:10:25.000,
22074,01Aug2023 10:58:29.000,
22096,01Aug2023 10:58:40.000,
22098,01Aug2023 15:29:24.000,
221,09Oct2023 23:01:16.000,
22104,01Aug2023 11:36:11.000,
22137,01Aug2023 11:36:57.000,
22146,01Aug2023 12:11:30.000,
22160,01Aug2023 10:03:13.000,
22167,01Aug2023 12:00:40.000,
2217,05Aug2023 10:05:39.000,30000
2217,12Aug2023 10:43:28.000,30000
2217,19Aug2023 11:00:09.000,30000
2217,26Aug2023 11:39:01.000,30000
2217,02Sep2023 11:39:01.000,30000
2217,09Sep2023 13:37:51.000,30000
2217,16Sep2023 14:48:35.000,30000
2217,23Sep2023 15:02:12.000,30000
2217,30Sep2023 15:28:21.000,30000
2217,07Oct2023 15:28:21.000,30000
2217,14Oct2023 16:41:41.000,30000
2217,21Oct2023 18:12:40.000,30000
2217,28Oct2023 18:25:10.000,30000
22177,01Aug2023 11:37:17.000,
22179,01Aug2023 11:00:57.000,
22192,01Aug2023 11:40:31.000,
22199,01Aug2023 11:01:11.000,
22209,01Aug2023 12:13:27.000,
22258,01Aug2023 15:31:46.000,
22265,01Aug2023 11:01:58.000,
2227,17Aug2023 0:39:48.000,
22290,01Aug2023 10:06:26.000,
22294,01Aug2023 10:06:30.000,
22296,01Aug2023 11:02:28.000,
22299,01Aug2023 15:32:35.000,
22309,01Aug2023 12:03:48.000,
22409,02Aug2023 2:07:15.000,
22415,01Aug2023 22:46:24.000,
2242,16Aug2023 23:23:41.000,
2245,17Aug2023 2:34:47.000,
2246,17Aug2023 0:39:58.000,
225,17Aug2023 18:51:05.000,50000
225,17Sep2023 18:51:05.000,50000
225,17Oct2023 18:51:05.000,50000
22526,14Aug2023 18:47:41.000,30000
2271,12Aug2023 14:54:24.000,30000
2273,16Aug2023 23:49:32.000,
2275,16Aug2023 23:49:35.000,
2304,17Aug2023 0:40:26.000,
2310,17Aug2023 0:40:33.000,
2313,16Aug2023 23:50:09.000,
2314,17Aug2023 2:35:41.000,
