CUST_NUM,MTH,TARIFF_PLAN,AMT_PF
11418,8,TP6,100
11427,9,TP5,1600
11427,10,TP5,800
11429,8,TP1,1900
11429,9,TP1,1900
11429,10,TP1,1900
11431,9,TP6,300
11431,10,TP6,600
11433,8,TP6,200
11433,9,TP6,1500
11433,10,TP6,300
11434,10,TP4,1200
11435,8,TP6,200
11435,9,TP6,300
1144,8,TP5,400
1144,8,TP6,900
1144,9,TP5,1200
1144,9,TP6,200
1144,10,TP5,400
1144,10,TP6,200
11454,8,TP5,1200
11454,8,TP6,400
11454,9,TP5,400
11454,9,TP6,300
11454,10,TP6,100
11458,8,TP6,2400
11458,9,TP6,2200
11458,10,TP6,200
11459,8,TP5,1600
11459,9,TP5,1600
11459,10,TP5,1600
11462,8,TP6,1500
11462,9,TP6,1500
11462,10,TP6,1100
11463,8,TP5,800
11463,10,TP6,100
11467,8,TP6,100
11467,9,TP6,100
1147,8,TP2,1200
1147,9,TP2,1200
1147,10,TP2,1200
11470,8,TP6,300
11472,8,TP6,100
11472,9,TP6,400
11475,9,TP6,300
11477,9,TP5,1200
11477,10,TP5,2000
11481,8,TP5,2000
11481,9,TP5,1600
11481,10,TP5,1600
11488,9,TP5,400
11488,10,TP5,1200
11489,10,TP6,1200
1149,8,TP4,1200
1149,9,TP4,1200
1149,10,TP4,1200
11495,8,TP6,100
11495,10,TP6,100
11499,9,TP5,1600
11499,10,TP5,1200
11502,8,TP4,1200
11502,9,TP5,400
11502,10,TP5,2000
11506,8,TP5,2000
11506,9,TP5,1600
11506,10,TP5,1600
11508,8,TP4,1200
11508,9,TP4,1200
11512,8,TP5,1600
11512,9,TP5,1600
11512,10,TP5,400
11515,10,TP6,300
11517,8,TP5,1600
11517,9,TP5,2000
11517,10,TP5,1600
11519,8,TP5,800
11519,9,TP5,400
11520,8,TP4,1200
11520,9,TP4,1200
11521,8,TP6,200
11527,8,TP6,1700
11527,9,TP6,1600
11527,10,TP6,300
11529,8,TP6,300
11529,9,TP6,800
11529,10,TP6,700
11530,8,TP6,600
11530,9,TP6,200
11530,10,TP6,700
11533,8,TP5,1600
11533,9,TP5,1600
11533,10,TP5,1600
11537,10,TP5,400
11538,8,TP4,1200
11538,9,TP4,1200
11538,10,TP4,1200
1155,8,TP4,1200
1155,9,TP4,1200
1155,10,TP4,1200
11550,8,TP6,100
11550,9,TP6,300
11557,8,TP5,400
11557,9,TP5,800
11557,10,TP6,100
11560,8,TP6,2200
11560,9,TP6,1900
11560,10,TP6,2600
11564,8,TP4,1200
11564,9,TP4,1200
11564,10,TP4,1200
11578,8,TP5,1200
1158,8,TP6,2200
1158,9,TP6,1700
1158,10,TP6,1000
11592,8,TP5,2000
11592,9,TP5,1200
11592,10,TP5,1600
11593,8,TP6,1300
11598,8,TP5,800
11598,10,TP5,800
11604,8,TP4,1200
11604,9,TP4,1200
11604,10,TP4,1200
11614,9,TP5,800
11619,8,TP4,1200
11619,9,TP4,1200
11619,10,TP4,1200
11623,8,TP6,700
11623,9,TP6,900
11623,10,TP6,200
11629,9,TP5,800
11631,8,TP4,1200
11631,9,TP4,1200
11631,10,TP4,1200
11632,9,TP4,1200
11632,10,TP4,1200
11633,8,TP6,3100
11633,9,TP6,2100
