CUST_NUM,MTH,TARIFF_OPTION,AMT_PF
10458,8,STD_TO,120.00
10458,10,STD_TO,900.00
1046,8,STD_TO,830.00
1046,9,STD_TO,420.00
1046,10,STD_TO,360.00
10461,10,PROMO_TO,500.00
10463,8,STD_TO,300.00
10468,9,STD_TO,200.00
10469,8,STD_TO,1500.00
10469,9,STD_TO,1800.00
10469,10,STD_TO,1500.00
1047,8,STD_TO,1700.00
1047,9,STD_TO,200.00
10471,8,PROMO_TO,2000.00
10471,9,PROMO_TO,2000.00
10471,10,PROMO_TO,2000.00
10471,10,STD_TO,300.00
10473,9,STD_TO,350.00
10475,8,STD_TO,900.00
10475,9,STD_TO,1800.00
10475,10,STD_TO,900.00
10480,8,STD_TO,300.00
10480,9,STD_TO,2100.00
10480,10,STD_TO,3200.00
10481,8,STD_TO,1200.00
10481,9,STD_TO,300.00
10486,9,STD_TO,1430.00
10488,9,STD_TO,400.00
10489,8,STD_TO,720.00
10489,9,STD_TO,780.00
10489,10,STD_TO,350.00
1049,10,STD_TO,300.00
10490,8,STD_TO,1900.00
10490,9,STD_TO,2500.00
10490,10,STD_TO,2000.00
10493,8,STD_TO,300.00
10493,9,STD_TO,600.00
10493,10,STD_TO,300.00
10496,10,STD_TO,300.00
10498,8,STD_TO,850.00
10498,9,STD_TO,1550.00
10498,10,STD_TO,630.00
10499,8,STD_TO,1000.00
10499,9,STD_TO,800.00
10499,10,STD_TO,600.00
1050,8,STD_TO,1100.00
1050,9,STD_TO,1800.00
1050,10,STD_TO,3400.00
10503,8,PROMO_TO,2000.00
10503,9,PROMO_TO,2000.00
10503,10,PROMO_TO,2000.00
10503,10,STD_TO,300.00
10505,8,STD_TO,300.00
10505,9,STD_TO,2300.00
10505,10,STD_TO,2800.00
10506,8,STD_TO,900.00
10506,9,STD_TO,1800.00
10506,10,STD_TO,1800.00
10508,8,STD_TO,1620.00
10508,9,PROMO_TO,1000.00
10508,10,STD_TO,2400.00
10510,8,STD_TO,600.00
10510,9,STD_TO,1100.00
10510,10,STD_TO,1100.00
10511,8,STD_TO,300.00
10511,9,STD_TO,1100.00
10511,10,STD_TO,300.00
10512,8,PROMO_TO,1000.00
10512,9,PROMO_TO,1000.00
10512,10,PROMO_TO,750.00
10512,10,STD_TO,700.00
10518,8,PROMO_TO,500.00
10518,10,PROMO_TO,500.00
10519,8,STD_TO,400.00
10519,9,STD_TO,400.00
10519,10,STD_TO,800.00
1052,10,STD_TO,300.00
10523,10,STD_TO,1300.00
10524,9,STD_TO,300.00
10524,10,STD_TO,500.00
10525,8,STD_TO,600.00
10525,9,STD_TO,600.00
10525,10,STD_TO,600.00
10528,8,STD_TO,700.00
10528,9,STD_TO,700.00
10528,10,PROMO_TO,1050.00
10528,10,STD_TO,1160.00
10529,8,STD_TO,400.00
10529,9,STD_TO,400.00
10529,10,STD_TO,700.00
1053,10,STD_TO,300.00
10531,8,STD_TO,1000.00
10531,9,STD_TO,2300.00
10531,10,STD_TO,1800.00
10532,8,PROMO_TO,350.00
10532,9,PROMO_TO,350.00
10532,10,PROMO_TO,350.00
10533,8,STD_TO,3000.00
10533,9,STD_TO,2100.00
10533,10,STD_TO,1500.00
10534,8,STD_TO,3000.00
10534,9,STD_TO,2600.00
10534,10,STD_TO,3000.00
10537,9,PROMO_TO,500.00
10549,9,STD_TO,2300.00
10549,10,STD_TO,1500.00
1055,10,STD_TO,350.00
10551,8,STD_TO,230.00
10552,10,STD_TO,300.00
10555,8,STD_TO,200.00
10555,10,STD_TO,400.00
10556,8,PROMO_TO,500.00
10556,9,PROMO_TO,250.00
10557,9,PROMO_TO,350.00
10557,10,STD_TO,200.00
10558,8,PROMO_TO,500.00
10558,8,STD_TO,300.00
10558,9,PROMO_TO,500.00
10559,8,PROMO_TO,500.00
10560,10,PROMO_TO,350.00
10560,10,STD_TO,1100.00
10561,10,STD_TO,800.00
10562,8,STD_TO,300.00
10562,10,STD_TO,300.00
10564,10,STD_TO,600.00
10565,8,STD_TO,2700.00
10567,8,STD_TO,1160.00
10567,9,STD_TO,1160.00
10567,10,STD_TO,1270.00
10569,8,STD_TO,660.00
10569,9,STD_TO,240.00
10569,10,STD_TO,1280.00
10571,9,STD_TO,300.00
10572,8,STD_TO,2400.00
10572,9,STD_TO,1850.00
10572,10,STD_TO,1740.00
10576,8,PROMO_TO,1000.00
10576,9,PROMO_TO,500.00
10576,10,PROMO_TO,250.00
10577,8,STD_TO,120.00
10578,8,PROMO_TO,1000.00
10578,9,PROMO_TO,1000.00
10578,10,PROMO_TO,2050.00
10579,9,STD_TO,830.00
10580,8,STD_TO,300.00
10582,10,STD_TO,230.00
10583,10,STD_TO,300.00
10585,8,PROMO_TO,500.00
10585,8,STD_TO,120.00
10585,9,PROMO_TO,500.00
10585,9,STD_TO,350.00
10585,10,STD_TO,350.00
10586,8,PROMO_TO,500.00
10586,9,PROMO_TO,500.00
10586,10,PROMO_TO,1000.00
10587,8,STD_TO,900.00
10587,9,STD_TO,300.00
10587,10,STD_TO,1440.00
10589,8,STD_TO,880.00
10589,9,STD_TO,230.00
10589,10,STD_TO,770.00
10591,9,STD_TO,200.00
10593,8,STD_TO,600.00
10596,8,STD_TO,2400.00
10596,9,STD_TO,1600.00
10596,10,STD_TO,700.00
10597,9,STD_TO,1300.00
10597,10,STD_TO,1900.00
10598,9,PROMO_TO,250.00
10601,8,STD_TO,200.00
10601,9,STD_TO,400.00
10601,10,STD_TO,400.00
10604,8,STD_TO,200.00
10606,8,STD_TO,1800.00
10606,9,STD_TO,600.00
10606,10,STD_TO,720.00
10610,9,STD_TO,120.00
10614,8,STD_TO,1140.00
10614,9,STD_TO,240.00
10614,10,STD_TO,120.00
10616,8,STD_TO,800.00
10616,9,STD_TO,3000.00
10616,10,STD_TO,2700.00
10619,8,STD_TO,2400.00
10619,9,STD_TO,2700.00
10619,10,STD_TO,2700.00
10620,8,STD_TO,1600.00
10620,9,STD_TO,2400.00
10620,10,STD_TO,1800.00
10621,8,STD_TO,3000.00
10621,9,STD_TO,2300.00
10621,10,STD_TO,2820.00
10622,8,STD_TO,1200.00
10622,9,STD_TO,1200.00
10622,10,STD_TO,600.00
10625,8,STD_TO,1500.00
10627,8,STD_TO,500.00
10627,10,STD_TO,1200.00
10628,8,STD_TO,600.00
10628,9,STD_TO,600.00
10628,10,STD_TO,600.00
10629,8,PROMO_TO,500.00
10629,9,PROMO_TO,500.00
10629,10,PROMO_TO,1100.00
1063,8,STD_TO,300.00
1063,10,STD_TO,120.00
