CUSTOMER_ID,PROMO_TO_SEG,STATUS_TO,TYPE_TO
10577,2,A,VOICE
10578,4,A,DATA
10578,4,A,VOICE
10579,4,A,DATA
10579,4,A,VOICE
1058,1,A,DATA
1058,4,A,VOICE
10580,5,A,DATA
10580,5,A,VOICE
10581,1,A,DATA
10581,2,A,VOICE
10582,1,A,DATA
10582,5,A,VOICE
10583,4,A,DATA
10583,5,A,VOICE
10585,4,A,DATA
10585,5,A,VOICE
10586,3,A,DATA
10586,3,A,VOICE
10587,2,A,VOICE
10587,6,A,DATA
10589,4,A,DATA
10589,5,A,VOICE
10591,3,A,DATA
10591,5,A,VOICE
10593,4,A,DATA
10593,4,A,VOICE
10596,2,A,VOICE
10596,8,A,DATA
10597,5,A,VOICE
10597,8,A,DATA
10598,1,A,DATA
10598,7,A,VOICE
106,1,A,DATA
106,7,A,VOICE
1060,1,A,DATA
1060,8,A,VOICE
10601,3,A,DATA
10601,5,A,VOICE
10602,1,A,DATA
10602,7,A,VOICE
10603,1,A,DATA
10603,6,A,VOICE
10606,5,A,VOICE
10606,7,A,DATA
10609,3,A,VOICE
10609,5,A,DATA
1061,1,A,DATA
1061,6,A,VOICE
10610,2,A,DATA
10610,4,A,VOICE
10611,1,A,DATA
10611,2,A,VOICE
10613,1,A,DATA
10613,2,A,VOICE
10614,2,A,VOICE
10614,8,A,DATA
10615,2,A,DATA
10615,2,A,VOICE
10616,2,A,VOICE
10616,8,A,DATA
10617,1,A,DATA
10617,4,A,VOICE
10618,1,A,DATA
10618,2,A,VOICE
10619,1,A,VOICE
10619,8,A,DATA
10620,6,A,VOICE
10620,8,A,DATA
10621,5,A,VOICE
10621,8,A,DATA
10624,2,A,VOICE
10624,8,A,DATA
10628,2,A,VOICE
10628,4,A,DATA
10629,3,A,DATA
10629,6,A,VOICE
1063,2,A,DATA
1063,4,A,VOICE
10631,8,A,DATA
10631,8,A,VOICE
10632,1,A,DATA
10632,4,A,VOICE
10633,2,A,VOICE
10633,8,A,DATA
10634,1,A,DATA
10634,2,A,VOICE
10635,1,A,DATA
10635,1,A,VOICE
10637,4,A,VOICE
10637,6,A,DATA
10638,1,A,DATA
10638,8,A,VOICE
10639,2,A,VOICE
10639,4,A,DATA
1064,1,A,VOICE
1064,8,A,DATA
10640,1,A,DATA
10640,3,A,VOICE
10641,4,A,VOICE
10641,8,A,DATA
10642,1,A,VOICE
