CUST_NUM,MTH,TARIFF_OPTION,AMT_PF
2233,9,PROMO_TO,200.00
2233,10,PROMO_TO,200.00
22379,8,PROMO_TO,200.00
22379,9,PROMO_TO,200.00
224,8,PROMO_TO,500.00
224,10,PROMO_TO,500.00
2259,10,PROMO_TO,450.00
2262,8,PROMO_TO,350.00
2262,9,PROMO_TO,350.00
2262,10,PROMO_TO,350.00
22755,8,PROMO_TO,400.00
2276,8,PROMO_TO,550.00
2276,9,PROMO_TO,550.00
2276,10,PROMO_TO,550.00
2283,10,PROMO_TO,1500.00
22830,8,PROMO_TO,400.00
22830,9,PROMO_TO,200.00
22830,10,PROMO_TO,200.00
2289,8,PROMO_TO,1100.00
2289,9,PROMO_TO,1100.00
23047,10,PROMO_TO,150.00
23095,8,PROMO_TO,150.00
231,8,PROMO_TO,450.00
231,9,PROMO_TO,300.00
231,10,PROMO_TO,300.00
23247,9,PROMO_TO,150.00
23512,9,PROMO_TO,400.00
23624,8,PROMO_TO,150.00
23624,9,PROMO_TO,450.00
23624,10,PROMO_TO,150.00
2366,8,PROMO_TO,350.00
2366,9,PROMO_TO,350.00
2366,10,PROMO_TO,350.00
2369,8,PROMO_TO,1100.00
2369,9,PROMO_TO,1100.00
2369,10,PROMO_TO,1100.00
2370,8,PROMO_TO,200.00
2370,9,PROMO_TO,200.00
23710,9,PROMO_TO,550.00
238,8,PROMO_TO,200.00
238,9,PROMO_TO,200.00
24,9,PROMO_TO,200.00
24,10,PROMO_TO,350.00
24070,8,PROMO_TO,1100.00
24070,9,PROMO_TO,550.00
24076,8,PROMO_TO,200.00
24076,9,PROMO_TO,200.00
241,8,PROMO_TO,200.00
241,9,PROMO_TO,200.00
241,10,PROMO_TO,350.00
2456,8,PROMO_TO,550.00
2456,9,PROMO_TO,1100.00
24655,10,PROMO_TO,150.00
24699,8,PROMO_TO,600.00
24699,9,PROMO_TO,600.00
24699,10,PROMO_TO,450.00
2477,9,PROMO_TO,550.00
2477,10,PROMO_TO,550.00
2481,8,PROMO_TO,700.00
2481,10,PROMO_TO,700.00
24919,9,PROMO_TO,600.00
24919,10,PROMO_TO,400.00
2492,8,PROMO_TO,550.00
25134,8,PROMO_TO,150.00
25381,8,PROMO_TO,200.00
2586,8,PROMO_TO,400.00
2586,9,PROMO_TO,200.00
2586,10,PROMO_TO,550.00
2587,8,PROMO_TO,1100.00
2587,9,PROMO_TO,1100.00
2587,10,PROMO_TO,1500.00
2591,8,PROMO_TO,2200.00
2591,9,PROMO_TO,1100.00
2591,10,PROMO_TO,1100.00
26031,9,PROMO_TO,200.00
26031,10,PROMO_TO,200.00
26081,10,PROMO_TO,200.00
26088,8,PROMO_TO,300.00
26109,10,PROMO_TO,150.00
26179,8,PROMO_TO,200.00
26179,9,PROMO_TO,400.00
26210,8,PROMO_TO,300.00
2629,9,PROMO_TO,400.00
2629,10,PROMO_TO,200.00
264,8,PROMO_TO,200.00
264,9,PROMO_TO,200.00
264,10,PROMO_TO,200.00
2644,8,PROMO_TO,200.00
2644,9,PROMO_TO,200.00
2644,10,PROMO_TO,550.00
26537,8,PROMO_TO,300.00
26537,9,PROMO_TO,150.00
2657,8,PROMO_TO,150.00
2657,9,PROMO_TO,600.00
2657,10,PROMO_TO,1550.00
26593,8,PROMO_TO,200.00
2661,8,PROMO_TO,1100.00
2661,9,PROMO_TO,1100.00
2661,10,PROMO_TO,1100.00
2687,8,PROMO_TO,550.00
2687,9,PROMO_TO,550.00
2687,10,PROMO_TO,550.00
26905,10,PROMO_TO,150.00
