CUSTOMER_ID,TARIFF,ACTIVATION_TIME,STATUS
403,TMnet,25Jul2022 10:46:09,Active
404,TM2,31Dec1999 23:00:00,Active
405,TMnet,29Oct2021 15:43:28,Active
406,TMnet,10Jun2022 13:05:49,Active
407,TM1,12Nov2015 15:47:25,Active
408,TMnet,13Nov2021 8:43:28,Active
409,TM2,04Mar2016 20:05:48,Active
410,TM1,08Mar2014 12:08:51,Active
411,TM2,31Dec1999 23:00:00,Active
412,TM1,18Dec2014 15:44:33,Active
413,TM1,31Dec1999 23:00:00,Active
414,TM2,20Mar2016 10:03:42,Active
415,TM2,31Dec1999 23:00:00,Active
416,TMnet,03Aug2022 7:54:36,Active
417,TMnet,11Dec2015 18:01:46,Active
418,TM1,10Mar2014 10:18:58,Active
419,TMnet,06Jan2022 12:06:15,Active
420,TM2,29May2018 9:58:40,Active
421,TM2,31Dec1999 23:00:00,Active
422,TMnet,06Jun2020 12:27:56,Active
423,TM2,31Dec1999 23:00:00,Active
424,TMnet,15Aug2023 14:22:35,Active
425,TM1,27Jul2017 8:11:56,Active
426,TM2,31Dec1999 23:00:00,Active
427,TM2,31Dec1999 23:00:00,Active
428,TM1,31Dec1999 23:00:00,Active
429,TM2,17May2017 8:39:12,Active
430,TM2,12Mar2016 17:13:31,Active
431,TMnet,29Nov2019 18:15:03,Active
432,TM1,31Dec1999 23:00:00,Active
433,TM1,31Dec1999 23:00:00,Active
434,TMnet,26Jan2023 10:02:32,Active
435,TMnet,28Sep2021 16:05:37,Active
436,TM2,06Aug2015 10:57:38,Active
437,TMnet,24Apr2019 21:00:17,Active
438,TM2,31Dec1999 23:00:00,Active
439,TMnet,23Apr2023 9:33:03,Active
440,TM2,31Dec1999 23:00:00,Active
441,TM2,31Dec1999 23:00:00,Active
442,TMnet,20Jun2020 14:10:57,Active
443,TM2,04Aug2017 7:49:14,Active
444,TM2,31Dec1999 23:00:00,Active
445,TMnet,11Feb2019 14:25:06,Active
446,TM2,22Aug2017 19:17:55,Active
447,TMnet,13Oct2022 16:37:03,Active
448,TMnet,30Sep2017 19:19:37,Active
449,TMnet,04Aug2023 9:09:17,Active
450,TM2,31Dec1999 23:00:00,Active
451,TM2,17Apr2017 18:59:45,Active
452,TM2,31Dec1999 23:00:00,Active
453,TM2,31Dec1999 23:00:00,Active
454,TMnet,10Nov2023 15:06:30,Active
455,TMnet,13Nov2021 12:45:08,Active
456,TMnet,23Jun2020 10:56:34,Active
457,TM1,20Dec2020 10:06:46,Active
458,TMnet,30Sep2019 15:39:48,Active
459,TMnet,30Apr2019 13:24:29,Active
460,TM2,31Dec1999 23:00:00,Active
461,TM2,31Dec1999 23:00:00,Active
462,TMnet,15Aug2023 8:10:46,Active
463,TMnet,21Oct2019 18:52:09,Active
464,TMnet,29Jun2023 8:21:38,Active
465,TM2,31Dec1999 23:00:00,Active
466,TMnet,12Aug2023 10:07:36,Active
467,TM2,31Dec1999 23:00:00,Active
468,TMnet,15Nov2023 18:50:50,Active
469,TM2,31Dec1999 23:00:00,Active
470,TM2,22Jan2013 12:44:13,Active
471,TMnet,09Jul2019 15:54:57,Active
472,TM2,05Jan2018 17:25:17,Active
473,TMnet,12Dec2019 15:46:08,Active
474,TM2,11Feb2015 15:16:08,Active
475,TM2,07May2018 11:06:02,Active
476,TM2,29Apr2017 16:25:45,Active
477,TM2,31Dec1999 23:00:00,Active
478,TM2,31Dec1999 23:00:00,Active
479,TM2,12Nov2018 12:25:36,Active
480,TM2,31Dec1999 23:00:00,Active
481,TM1,31Dec1999 23:00:00,Active
482,TM2,31Dec1999 23:00:00,Active
483,TM1,31Dec1999 23:00:00,Active
484,TMnet,26Mar2022 12:57:48,Active
485,TMnet,06Nov2023 14:21:42,Active
486,TM1,31Dec1999 23:00:00,Active
487,TM2,31Dec1999 23:00:00,Active
488,TMnet,14Jul2020 13:34:10,Active
489,TMnet,19Aug2020 18:07:23,Active
490,TMnet,13Feb2023 8:41:47,Active
491,TMnet,17Mar2022 15:35:11,Active
492,TMnet,21Apr2022 12:08:53,Active
493,TM2,24Jan2019 10:33:55,Active
494,TMnet,04Nov2023 16:55:39,Active
495,TMnet,25Dec2021 12:36:22,Active
496,TM2,31Dec1999 23:00:00,Active
497,TMnet,22Mar2022 11:17:14,Active
498,TM2,10Nov2018 13:03:23,Active
499,TM2,07May2018 10:12:41,Active
500,TMnet,11Apr2022 12:45:53,Active
501,TM2,22Feb2013 18:50:43,Active
502,TMnet,20Apr2023 9:41:13,Active
503,TM1,31Dec2015 16:01:02,Active
504,TMnet,24Oct2021 7:05:07,Active
505,TMnet,02Oct2023 18:07:09,Active
506,TMnet,08Oct2021 10:17:32,Active
507,TMnet,03Jan2023 12:06:51,Active
508,TMnet,25Oct2021 16:44:13,Active
509,TM1,03Aug2020 7:39:17,Active
510,TM2,01Sep2016 12:50:51,Active
511,TMnet,03Feb2023 14:40:36,Active
512,TM1,17Apr2013 20:58:15,Active
513,TMnet,17Nov2021 9:05:09,Active
514,TMnet,18Aug2023 13:05:27,Active
515,TM1,22May2012 14:21:35,Active
516,TMnet,26Aug2022 6:01:07,Active
517,TM2,14May2012 15:22:53,Active
518,TMnet,17Oct2020 9:38:35,Active
519,TM1,12Apr2015 19:05:29,Active
520,TMnet,07May2023 14:26:54,Active
521,TM2,31Dec1999 23:00:00,Active
522,TM2,15Apr2016 16:07:11,Active
523,TMnet,08Nov2023 19:14:28,Active
524,TM2,10Sep2012 10:37:03,Active
525,TMnet,11Aug2022 10:22:04,Active
526,TM1,29Nov2017 15:51:50,Active
527,TMnet,11Mar2019 15:21:07,Active
528,TM1,08Mar2015 14:08:55,Active
529,TMnet,12Jul2019 12:51:42,Active
530,TMnet,30May2023 13:24:59,Active
531,TMnet,28Oct2021 15:43:41,Active
532,TM2,31Dec1999 23:00:00,Active
533,TMnet,10Dec2021 8:46:22,Active
534,TM1,21Mar2016 19:01:46,Active
535,TMnet,24Jan2023 18:13:23,Active
536,TM1,31Dec1999 23:00:00,Active
537,TMnet,11Jul2023 11:45:20,Active
538,TM2,31Dec1999 23:00:00,Active
539,TMnet,15Aug2023 13:03:23,Active
540,TM2,31Dec1999 23:00:00,Active
541,TMnet,24Jul2019 7:46:27,Active
542,TMnet,19Jul2023 8:41:27,Active
543,TMnet,28Feb2023 22:46:11,Active
544,TM2,13Dec2013 15:47:14,Active
545,TMnet,24Sep2021 7:17:21,Active
546,TMnet,14Sep2022 16:11:11,Active
547,TMnet,03Apr2023 6:16:23,Active
548,TMnet,21Dec2022 12:08:05,Active
549,TMnet,30Jul2019 12:09:32,Active
550,TM2,31Dec1999 23:00:00,Active
551,TM2,31Dec1999 23:00:00,Active
552,TMnet,01Feb2019 18:56:36,Active
553,TM1,31Dec1999 23:00:00,Active
554,TMnet,17Dec2019 8:57:49,Active
555,TMnet,10Aug2022 10:28:05,Active
556,TMnet,05Aug2023 9:07:53,Active
557,TMnet,20Jun2023 12:52:21,Active
558,TMnet,16Jun2020 11:49:03,Active
559,TMnet,25Jun2020 9:25:25,Active
560,TMnet,28Nov2022 16:17:33,Active
561,TMnet,24Jun2020 8:30:41,Active
562,TMnet,21Aug2020 7:11:33,Active
563,TM1,23Jul2015 6:40:20,Active
564,TM2,31Dec1999 23:00:00,Active
565,TM1,31Dec1999 23:00:00,Active
566,TM2,31Dec1999 23:00:00,Active
567,TM2,31Dec1999 23:00:00,Active
568,TM2,31Dec1999 23:00:00,Active
569,TMnet,11Aug2020 17:05:08,Active
570,TMnet,27Oct2020 9:26:03,Active
571,TMnet,25Jul2020 8:31:09,Active
572,TM2,15Nov2015 19:52:25,Active
573,TM2,31Dec1999 23:00:00,Active
574,TM2,29Mar2018 17:16:53,Active
575,TMnet,08Apr2022 19:07:23,Active
576,TMnet,08Nov2021 9:30:50,Active
577,TM1,16Dec2021 16:54:11,Active
578,TM2,31Dec1999 23:00:00,Active
579,TM2,31Dec1999 23:00:00,Active
580,TM1,31Dec1999 23:00:00,Active
581,TM2,25May2016 19:32:49,Active
582,TMnet,06Nov2023 16:07:26,Active
583,TMnet,30Oct2023 14:50:52,Active
584,TMnet,18Aug2022 14:46:00,Active
585,TMnet,19Aug2023 17:02:19,Active
586,TMnet,22Dec2022 22:57:55,Active
587,TM2,18Dec2017 18:15:58,Active
588,TM2,16May2017 14:51:34,Active
589,TM2,31Dec1999 23:00:00,Active
590,TM2,11May2018 20:10:57,Active
591,TMnet,07Sep2021 14:40:17,Active
592,TM2,31Dec1999 23:00:00,Active
593,TM2,09Sep2013 13:13:18,Active
594,TMnet,02Nov2023 15:23:05,Active
595,TMnet,06Aug2020 9:14:43,Active
596,TM1,31Dec1999 23:00:00,Active
597,TM2,31Dec1999 23:00:00,Active
598,TMnet,01Apr2022 19:04:54,Active
599,TM2,06Aug2017 11:47:49,Active
600,TMnet,08Sep2020 10:50:19,Active
601,TMnet,28Jun2023 9:31:33,Active
602,TM2,31Dec1999 23:00:00,Active
603,TM1,18Apr2016 15:58:00,Active
604,TMnet,10Oct2023 20:52:51,Active
605,TM1,31Dec1999 23:00:00,Active
606,TMnet,15Sep2021 13:59:32,Active
607,TM1,07May2015 12:40:41,Active
608,TM2,31Dec1999 23:00:00,Active
609,TMnet,15Jul2022 7:24:43,Active
610,TM2,31Dec1999 23:00:00,Active
611,TMnet,15Jan2020 10:42:13,Active
612,TMnet,15Sep2021 9:20:09,Active
613,TMnet,22Jul2020 8:15:38,Active
614,TM2,27Jun2012 12:21:46,Active
615,TM2,26Dec2016 13:43:51,Active
616,TMnet,31Aug2022 11:30:24,Active
617,TM1,31Dec1999 23:00:00,Active
618,TMnet,27Jun2023 11:56:26,Active
619,TM1,31Dec1999 23:00:00,Active
